Итерация,Тип подвески,Xmech1,Xmech2,Xmech3,,Плавность хода,Энергопотребление,Угол крена,Угол дифферента,Проходимость,Итоговая Парето
1,Double Wishbone,0,0.05,0.2,,9.666,268124.5975,0.1059,0.2335,1,100000000000029.95
2,Double Wishbone,2.0,0.05,0.2,,10.5386,316321.0495,0.1281,0.2779,0,35.0779
3,Double Wishbone,4.0,0.05,0.2,,10.7472,384371.9201,0.1211,0.2699,0,41.935
4,Double Wishbone,6.0,0.05,0.2,,10.3236,319485.279,0.119,0.2813,1,100000000000035.33
5,Double Wishbone,8.0,0.05,0.2,,10.6366,308536.7614,0.1111,0.2698,0,34.3112
6,Double Wishbone,10.0,0.05,0.2,,10.4195,359465.3036,0.1748,0.2846,0,39.3939
7,Double Wishbone,0,0.1,0.2,,3.6087,1141.335,0.0,0.0,1,100000000000001.2
8,Double Wishbone,2.0,0.1,0.2,,3.6087,1139.9114,0.0,0.0,1,100000000000001.2
9,Double Wishbone,4.0,0.1,0.2,,3.6087,1138.4859,0.0,0.0,1,100000000000001.2
10,Double Wishbone,6.0,0.1,0.2,,3.6087,1137.0827,0.0,0.0,1,100000000000001.2
11,Double Wishbone,8.0,0.1,0.2,,3.6087,1135.705,0.0,0.0,1,100000000000001.2
12,Double Wishbone,10.0,0.1,0.2,,3.6087,1134.2999,0.0,0.0,1,100000000000001.2
13,Double Wishbone,0,0.15,0.2,,3.6087,300.6219,0.0,0.0,1,100000000000001.11
14,Double Wishbone,2.0,0.15,0.2,,3.6087,300.5641,0.0,0.0,1,100000000000001.11
15,Double Wishbone,4.0,0.15,0.2,,3.6087,300.5021,0.0,0.0,1,100000000000001.11
16,Double Wishbone,6.0,0.15,0.2,,3.6087,300.452,0.0,0.0,1,100000000000001.11
17,Double Wishbone,8.0,0.15,0.2,,3.6087,300.3996,0.0,0.0,1,100000000000001.11
18,Double Wishbone,10.0,0.15,0.2,,3.6087,300.3473,0.0,0.0,1,100000000000001.11
19,Double Wishbone,0,0.2,0.2,,3.6087,128.1722,0.0,0.0,1,100000000000001.1
20,Double Wishbone,2.0,0.2,0.2,,3.6087,128.1713,0.0,0.0,1,100000000000001.1
21,Double Wishbone,4.0,0.2,0.2,,3.6087,128.1724,0.0,0.0,1,100000000000001.1
22,Double Wishbone,6.0,0.2,0.2,,3.608,128.1743,0.0,0.0,1,100000000000001.1
23,Double Wishbone,8.0,0.2,0.2,,3.608,128.1755,0.0,0.0,1,100000000000001.1
